City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
285,Oloron-Sainte-Marie,FR,1/23/2022 21:43,43.1944,-0.6107,36.03,75,0,4.45
286,Hirara,JP,1/23/2022 21:43,24.8,125.2833,70.07,94,75,4.61
287,Thetford Mines,CA,1/23/2022 21:43,46.0913,-71.3013,14.29,95,99,5.23
288,Baruun-Urt,MN,1/23/2022 21:43,46.6806,113.2792,1.45,98,100,3.02
289,Ahuimanu,US,1/23/2022 21:43,21.4447,-157.8378,80.31,70,100,4
290,Lima,PE,1/23/2022 21:41,-12.0432,-77.0282,77.25,61,0,11.5
291,Uniontown,US,1/23/2022 21:43,39.9001,-79.7164,32.43,54,100,4
292,Marawi,PH,1/23/2022 21:43,7.9986,124.2928,68.65,98,100,2.68
293,Magadan,RU,1/23/2022 21:43,59.5667,150.8,-10.52,81,50,8.48
294,Geraldton,AU,1/23/2022 21:43,-28.7667,114.6,72.01,83,40,16.11
295,Leningradskiy,RU,1/23/2022 21:43,69.3833,178.4167,-16.15,95,100,5.44
296,Kavaratti,IN,1/23/2022 21:43,10.5669,72.642,79.65,63,8,11.65
297,Pandan,PH,1/23/2022 21:43,14.0453,124.1694,77.41,89,60,9.91
298,Oxbow,CA,1/23/2022 21:43,49.2333,-102.1676,33.75,92,100,12.35
299,Almoloya,MX,1/23/2022 21:43,19.7,-98.4,68.23,34,23,6.49
300,Longyearbyen,SJ,1/23/2022 21:38,78.2186,15.6401,19.24,63,20,5.75
301,Changji,CN,1/23/2022 21:43,44.0167,87.3167,14.79,92,75,2.24
302,San Quintin,MX,1/23/2022 21:43,30.4833,-115.95,65.5,39,2,8.37
303,Muros,ES,1/23/2022 21:43,42.7762,-9.0603,50.85,91,0,3.98
304,Batagay-Alyta,RU,1/23/2022 21:43,67.8006,130.4114,-12.26,90,100,1.52
